id;profesor_id;profesor_name
1;28b9d2ac-401f-436d-bbf5-7f1e54684f6e;Increible
2;8df59543-dab5-4a9e-b9e2-51ba6d81067f;Sorprendente Gris
3;df11a116-5051-4d98-abea-3cc8a1997e44;Reducido optical
4;af5a0a90-98e0-4dc6-8a67-2ab0da7a91a4;hacking conglomeración
5;fd491dd6-2802-4f7f-87b9-2cdc150b09f1;fritas
6;342a5c77-2a72-48a4-a5e8-0870a3bc1c14;Cine firmware Arquitecto
7;2f0783b4-d90e-4568-a924-05ed0ac96d39;Borders Luxemburgo real-time
8;0ebe1f92-a201-4cf9-b191-02bd50af4d90;complejidad
9;a51aa76e-3cbf-4c64-af26-818605684799;programming
10;4e13dcd1-41dc-4ce3-8e87-c902c5122562;connecting Bedfordshire Extendido
