id;student_id;student_name
1;d753c4c9-d26a-4fd5-95ed-4272f84b37d1;Account drive Refinado
2;720b73f7-15f9-44af-99d5-0c8c9c454595;mano
3;b486df1d-1ad0-486e-98ef-c902ac42ccab;Práctico synthesizing
4;430dab3e-b7bf-4b0e-af29-2397c76b7d95;Web indexing
5;2122f586-7fe7-41ca-87d5-a1aeb05e6e94;no-volátil PNG
6;8f07c5d5-af9e-418e-bd6a-733345cb26b1;enable generate
7;64e007b0-4db9-4080-8a7c-6bd4e20e3ee8;Mascotas
8;27b2d41d-9560-49e8-90a9-0ae56a043af3;Granito Personal
9;1affaec7-93c1-445b-8e34-5f3c237f5cab;Toallas
10;31989086-91e6-40a2-bfa3-831700e1ac61;program Hogar Operativo
