user_name;password;email
da7068be-19d4-4f02-919e-35eff80f645e;Vasco Inteligente;scar_Lovato90@gmail.com
b34a5407-7c21-42d4-968f-4334f45f553e;XSS;Ins.Saucedo@hotmail.com
04f9e429-c483-4cd6-ad36-8cc147b232bd;Subida;Estela63@yahoo.com
6f99dc86-1358-4545-9cbe-69d229db6914;mobile;MaraLuisa_Carranza24@gmail.com
0c401096-bc16-42dd-882a-7e689e35b1a8;Usabilidad;Rubn.Melgar@gmail.com
7e4a6aed-d19f-4d87-8982-cd7729e60471;Salud;Diego.Delacrz30@gmail.com
e3813115-1270-44e9-88e0-6d8d899a5086;Ladrillo methodologies Mozambique;Lucas69@yahoo.com
9e1d8fa6-57b4-4972-8f22-8ae96e1560db;Vía Distrito content;Rubn.Pagan@yahoo.com
111cd114-1576-4165-a833-e234a26b8ac7;Coordinador;Carlos0@gmail.com
07e4577f-a83e-495d-8d05-8a80da77de7a;Card Cantabria Silla;Alejandra.Santilln83@hotmail.com
